slot,value,ci,ei
7880399,0.24436008878491094,100.42818432203681,100.49819738015289
7880400,0.253105909782067,168.78633001857355,168.78633001857355
7880401,0.9816946628876475,100.76742727761778,105.76392850369567
7880403,0.08154551517149633,100.22041614726791,100.22041614726791
7880404,0.06745627881887808,100.64220460565134,100.64220460565134
7880405,0.6119941120394259,100.139967284617,100.77601416901862
7880406,0.20888682133223396,100.50731213103099,100.50731213103099
7880407,0.3964251398636856,100.95579522337042,102.6912508078751
7880408,0.4227078442767441,100.059841383369,100.0
7880409,0.033725655801769915,128.18546827099473,128.18546827099473
7880410,0.06664630644969248,93.85600371770238,100.0
7880411,0.0889774447140288,100.08470031918917,100.08470031918917
7880412,0.2640611594230044,100.14327208330214,100.00043350097481
7880413,0.07529973594895475,100.59539229731132,100.59539229731132
7880415,0.19254370484186145,101.16213899662812,101.62746454392845
7880416,0.05618576733988496,100.0,100.0
7880417,0.07180767283990533,101.57201251321109,101.57201251321109
7880418,0.17837905346514052,100.06213992272335,100.06213992272335
7880419,0.13189985143125166,95.7676196807056,103.5558900098904
7880420,0.1669014046311419,101.38479247414077,102.11348529432729
7880421,0.07004062746416177,100.65696392828933,101.96778400314682
7880422,0.10507044663465266,101.18810518542298,101.18810518542298
7880423,0.05572622095611755,100.78756094655688,100.0
7880424,0.0644706075479388,100.0,100.0
7880425,0.03395387943164775,108.14362669733475,108.14362669733475
7880427,0.10766593349770137,100.97491713489468,100.97491713489468
7880428,0.04379350361576765,101.21514887657777,102.51513895605964
7880429,0.13322555751398127,100.18646897897679,100.18646897897679
7880430,0.888811977731396,100.03316169073663,100.03316169073663
7880433,0.0501446534933006,76.88747177460499,76.88747177460499
7880434,0.1767822601526679,100.62571848914968,100.62571848914968
7880436,0.06625673773391409,101.42963481795084,101.42963481795084
7880437,0.0534820091594514,100.09083229903078,100.09083229903078
7880438,0.04801289573841329,103.98363641713284,103.98363641713284
7880439,0.10923387690683936,101.7648226850693,102.3268959093108
7880440,0.11243373396644595,100.47689533223271,100.47689533223271
7880442,0.29500405721994616,100.1683717592945,100.1683717592945
7880446,0.12730185660266455,100.11883107925736,100.11883107925736
7880447,0.07187773273723354,101.4660080655303,101.4660080655303
7880449,0.16499643064010147,100.0,100.0
7880450,0.15292308445294034,101.68793668832616,104.08782622856717
7880451,0.08048666923999591,101.54884840364076,101.54884840364076
7880452,0.06990420483853271,105.13461355171265,109.54830143745828
7880453,0.047750432630508,101.6064967631296,101.6064967631296
7880454,0.07331500190814907,104.1959418854766,114.10942584209948
7880456,0.15436844256837648,100.70045768122613,100.70045768122613
7880457,0.01739737675761745,115.53421787766753,77.98581836868503
7880458,0.5020159250247029,100.47594948926748,100.47594948926748
7880459,0.11241747049218202,100.72396166957998,100.72396166957998
7880460,0.013260536531704772,100.74461388369416,49.593775897660784
7880461,0.15796936622398666,100.70230878192577,100.70230878192577
7880462,0.07805587323474443,101.92581317262548,101.92581317262548
7880463,0.022550668495591647,101.99644936777013,100.0
7880465,1.326592995645869,111.85309196280595,161.4833081971657
7880466,0.12688858799075614,100.5709892153671,100.5709892153671
7880468,0.12297179134803381,100.54554446153278,100.54554446153278
7880469,0.059293962702909375,101.83919160192933,101.83919160192933
7880470,0.04981753258678504,107.51249347864488,107.51249347864488
7880471,0.052473335235427264,100.8859127572354,100.8859127572354
7880472,0.0657396777093215,100.0,100.0
7880473,0.053660999431167096,101.93666352392007,101.17680690846753
7880475,0.07538235644115944,105.83272292409318,105.83272292409318
7880476,0.0317157955546167,103.01031608747195,103.01031608747195
7880478,0.019149519483122313,127.33573371028729,215.80243391720845
7880480,0.0948816864308056,103.01183697146197,114.15594604429549
7880481,0.10227244770094972,100.45522336535697,100.45522336535697
7880483,1.243827231599851,100.44202649451941,100.45981625623813
7880484,0.6549453381536693,101.35347975835076,101.35347975835076
7880486,0.0366510915782453,100.79620030427327,100.79620030427327
7880487,0.057066007865638854,100.22848730650209,101.18127346784533
7880488,0.19735557244049626,100.2108942550309,100.00790538103747
7880489,0.14886630156940206,100.27634871615243,100.27634871615243
7880491,0.044031888880704494,106.76456636060657,106.76456636060657
7880493,0.08608167066358259,102.4165306935681,102.75373961612347
7880494,0.07193988447294074,105.86100276623782,140.34516197332835
7880495,0.11698038141403179,100.22299375162622,100.04099557097554
7880496,0.08844190881981553,58.4189018068103,100.0
7880498,0.03717116056718382,100.19206903570522,100.19206903570522
7880499,0.06203033566416951,106.05722088287301,110.22609922882454
7880500,0.062146638958852536,103.86453284027006,103.86453284027006
7880501,0.03568308193088731,100.84642301471949,100.84642301471949
7880502,0.10273840071609205,105.0050558069279,131.76914839415969
7880503,0.5669460434961261,100.21147351853617,100.14044214687317
7880504,0.1324107690809708,100.6553061203575,100.6553061203575
7880505,0.04004313281059501,101.77377906502967,101.77377906502967
7880506,0.07187865861995452,103.3127857364871,103.3127857364871
7880508,0.18767715131189103,100.54160617265228,100.81535446950598
7880509,0.08481979972787596,100.11817957225075,100.0
7880510,0.06519374909827536,97.54294169908782,100.88282839820604
7880512,0.07838387352833193,100.81547368700603,101.57412401591999
7880513,0.12647546264004442,100.20131100434398,103.729610770588
7880514,0.15020246423781328,100.91007188493133,100.91007188493133
7880515,0.11749252549540451,101.95224751444056,103.53265788036529
7880516,0.051053982697920296,103.31233688541998,100.39175696083906
7880517,0.10465581707978984,106.44475272616498,106.44475272616498
7880518,0.05100390979101444,111.00372396448344,111.00372396448344
7880519,0.6312628645706584,100.04711152592796,100.04711152592796
7880520,0.13037152703823604,100.00418276061214,100.03557521655829
7880522,0.07847531778789754,101.32226055991342,101.32226055991342
7880523,0.05131456763679355,101.04831917779558,100.85923114972026
7880524,0.6604688588365307,100.10654353113412,100.10654353113412
7880525,0.058414401780263615,100.63584133142831,100.63584133142831
7880526,2.264900611869383,100.06608356302192,100.06608356302192
7880527,0.12905085420667672,99.6869974617311,99.60975117144146
7880528,0.04411698309889317,101.63060096421601,93.110834389571
7880529,0.049259508611362766,101.20794962990918,101.20794962990918
7880530,0.16539504120208737,101.31214402257591,101.31214402257591
7880533,1.0392066854941138,99.99974143205613,100.38873006665096
7880534,0.04719290167702004,105.11910594024589,110.44051480542888
7880537,0.14504355373125663,101.91799529553226,101.91799529553226
7880538,0.05491844200074423,100.96334708046703,100.96334708046703
7880539,0.07676760135445199,100.284378672,100.284378672
7880540,0.21506435408669305,103.3797848309057,103.3797848309057
7880541,0.14311266784160256,104.37672405835687,105.20866258904613
7880544,0.03705538006502393,101.67764211599737,101.67764211599737
7880545,0.06234816963466103,101.96529775598187,101.96529775598187
7880546,0.2641305840812789,99.97940533776118,103.6092950780104
7880547,0.12419705685430306,100.75952835577596,100.75952835577596
7880548,0.05615032134962422,101.0849864904813,101.54934675781755
7880549,0.07930698825584251,100.66572309419652,100.66572309419652
7880550,0.07016242464666392,100.0,100.0
7880551,0.1623867804001523,101.41669557854883,102.62477434287818
7880552,0.07906532397155458,102.73512165612668,103.62786342267411
7880553,0.06694587149887658,100.76870010288208,100.76870010288208
7880554,0.05929379740611133,101.86871869307545,101.18150537128152
7880555,0.12235853249958842,101.20310436742166,101.20310436742166
7880556,0.022256651092429074,112.63551950954374,122.0151309417123
7880557,0.028188468149742737,102.65432138586425,106.99749647770696
7880558,1.0974149552554777,99.9745912771666,100.0
7880560,0.8823816318912804,130.0054917806484,260.29079616984154
7880561,0.23507809856849868,110.00000000000001,111.58764296941592
7880562,0.1003499486953616,100.40497512222379,100.40497512222379
7880563,0.024327531717959067,101.52821679136248,101.52821679136248
7880565,0.051425945737433504,100.36075070086913,100.0
7880566,0.05152181791067682,106.93766627280594,106.93766627280594
7880568,0.07661510120367188,100.54544843204876,100.54544843204876
7880571,0.044425802747497856,102.46775037181723,102.46775037181723
7880572,0.2056658746659448,100.19446579756396,100.0
7880573,0.07671203591664477,100.5267860076511,100.5267860076511
7880574,0.08149700632495345,100.0,100.0
7880575,0.10562991996039191,100.35505917268391,99.97579262417247
7880576,0.1502407338728702,100.55963015249665,100.55963015249665
7880577,0.07793062452454251,101.55522815478473,101.55522815478473
7880578,0.1642197376132083,100.35719055046084,100.35719055046084
7880579,1.3017431420843393,96.84254007287011,98.03068957471017
7880580,1.055204323728639,100.0624362104257,100.0624362104257
7880581,0.1258214826890771,102.18821062416721,106.09367564835613
7880582,0.052044986474199306,101.66673877678785,101.66673877678785
7880583,0.11239411917690878,101.14599835180893,102.10094197552435
7880584,0.07151896674867672,100.00654212930459,100.00654212930459
7880585,0.07321138325404082,102.20478371067485,102.20478371067485
7880586,0.025179834538642337,101.54775556344246,101.14345132459957
7880587,0.10538356109900922,100.23376431990307,100.43812365523006
7880588,0.09368796961076767,100.57850213892512,100.89691444421098
7880589,0.0397141112593186,106.29042350579245,106.29042350579245
7880590,0.23546885098593484,108.11582535431292,163.6554507283404
7880592,0.05519660869507331,100.74738883518597,100.74738883518597
7880593,0.16601578451259527,100.27585277051874,100.27585277051874
7880594,0.8774582876830268,100.08750266961466,100.08750266961466
7880595,0.048784135318988946,105.94772615715111,114.62626411999506
7880596,0.08205874356157326,100.03607384636952,100.03607384636952
7880597,0.051242247337769234,102.78196133381647,102.78196133381647
7880598,0.09653256945087177,100.28798878980851,100.28798878980851
7880599,0.05609144320942313,104.01293979915461,104.01293979915461
7880600,0.044082590471150984,101.0751885195853,100.15991945197551
7880601,0.038211250171955806,100.2978525735173,100.2978525735173
7880602,0.13203087587696824,103.14680012265364,103.14680012265364
7880603,0.19729088777702736,100.22576823693173,100.0
7880604,0.07712371436293251,101.42004125554516,101.42004125554516
7880606,0.10075749580818173,100.00826294060714,100.00826294060714
7880607,0.04059709789446905,100.0,100.0
7880608,0.02293246226492668,105.03949800676584,105.03949800676584
7880609,0.06942162210972673,100.08677908102612,102.22420403622922
7880610,0.055963791861697906,103.5767980643693,103.5767980643693
7880611,0.24346597845805315,100.26094722566702,100.26094722566702
7880612,0.03389023134841908,101.04653155747478,101.04653155747478
7880613,0.03344485225277579,103.58075722540792,108.41135730021934
7880614,0.10854116169516972,100.01438357866859,100.01438357866859
7880615,0.04834395433019017,100.17032653396993,100.17032653396993
7880616,0.11606700085520047,100.1278600967851,100.1278600967851
7880617,0.10650129722840218,102.27993273546414,109.74615673653932
7880618,0.6344741894665737,100.34416041165409,100.34416041165409
7880619,0.24407154556746904,106.43818692181048,115.17847719224625
7880620,0.10859704328974128,104.13968916271938,104.13968916271938
7880621,0.12079458254208557,100.82916250231926,100.82916250231926
7880622,0.07690372653863424,100.59929279000308,99.97096357267255
7880624,0.06700762610189466,102.50932668075234,102.50932668075234
7880626,0.07153619811841484,100.07027217611315,99.93038457402048
7880627,0.10915904497644817,100.28132029384773,100.28132029384773
7880628,0.05982870144772727,102.1574646008851,102.49314591241263
7880629,0.03996244305848656,101.82413856535779,101.82413856535779
7880630,0.07654728435051156,100.94346248842179,100.94346248842179
7880631,0.1900297314059768,100.31463706613195,100.31463706613195
7880635,0.13102065547624267,100.46665844734352,100.46665844734352
7880636,0.06419352615171986,101.05661621620987,101.05661621620987
7880637,0.07106497061807382,103.0800039553468,103.76111464326934
7880638,0.05762675038963795,101.4208708273458,101.4208708273458
7880639,0.1935745938963678,100.19382672497743,100.19382672497743
7880640,0.07040267363703125,100.20166866890104,102.27110035355287
7880641,0.18420418110342554,100.05854974128576,100.00423037180029
7880642,0.11635155676233146,100.43838713539974,104.34746418491918
7880643,0.12092630639181715,100.39048353074249,100.38211036996888
7880644,0.21155848189558207,99.46857367480384,100.0
7880645,0.07499904010627663,101.01341619706308,101.01341619706308
7880646,0.09244395066448483,100.18295960405045,100.18295960405045
7880647,0.09290152906755696,100.62523806443546,100.62523806443546
7880648,0.4053239113704384,97.45335543196074,100.0
7880649,0.06445969140906556,102.27712270642162,102.27712270642162
7880650,0.044906564377167786,101.22972847114997,101.22972847114997
7880651,0.09834527700607944,102.53846224060865,106.60329117291307
7880652,0.062155032198916105,106.34426506302425,106.34426506302425
7880653,0.16144136088908043,108.20314647436302,118.48816500590618
7880654,0.13913626265678897,105.34026995695744,106.87331304669414
7880655,0.08986603775800202,102.2188732909134,102.2188732909134
7880657,0.06702312884723603,100.48795754182869,100.0
7880658,0.07603230926742663,102.36826877439596,102.38866459166758
7880659,0.04553904088887856,100.00461164048069,100.00461164048069
7880660,0.06279457217409087,100.93491224469993,100.93491224469993
7880661,0.05676682267798669,101.81461637442726,101.81461637442726
7880662,0.17982730341509132,100.5463410585301,102.31443392425692
7880664,0.026415984673338434,103.33989110031038,103.33989110031038
7880665,0.037587077198605885,100.00000000000078,100.00000000000078
7880667,0.041913700504789125,100.47309021300708,100.0
7880668,0.06467051401840565,103.04528359811869,103.04528359811869
7880670,0.09939375484535741,100.48642858560997,100.48642858560997
7880673,0.08099130037213262,99.82531832156653,100.2143678181246
7880674,0.09318130291617516,111.74257921505348,174.27676474723194
7880675,0.0738849122461709,104.7425729459596,113.89137903171127
7880676,0.07168159144986014,105.914275154828,105.914275154828
7880678,0.03295334064349451,116.42165054018999,116.42165054018999
7880679,0.18583144368389612,101.2912084687874,101.51094204826532
7880680,0.026549124551037025,100.45534279754196,100.45534279754196
7880681,0.04946751496802304,100.97334961446155,100.15686752774478
7880682,0.35900536984297055,100.0,100.0
7880683,0.09979255444467014,103.69515073352275,109.356594768415
7880686,0.03906798239925616,100.26203687609154,100.00605729599963
7880687,0.17316545157928767,105.72672197359118,105.85697565581708
7880688,0.03334518067070187,100.63931327639428,100.63931327639428
7880689,0.1123258831655695,100.2719526801583,100.27580670677196
7880690,0.058404945234819275,102.089248022579,105.51205142272417
7880691,0.044288837615694784,102.26429100532299,102.26429100532299
7880692,0.05874411681949654,100.17052008866942,100.0
7880694,0.10439984263883864,102.6111930500595,102.6111930500595
7880697,1.1490683104872952,74.9968855666774,97.53141892366216
7880698,0.18655188941031062,101.6161205417671,103.03119483355967
7880699,0.11089290109312655,105.09538058311006,105.09538058311006
7880700,0.05068953409803446,104.66733188010473,104.66733188010473
7880701,0.13077374506358747,100.73067842272508,101.0818065444258
7880702,0.06614426599762432,100.56670486884775,122.22827501708298
7880703,0.0962737652189982,101.09810800217625,101.09810800217625
7880704,0.1158153232336666,100.03801289683116,100.03801289683116
7880705,0.1656345786705159,100.04059336401698,100.04059336401698
7880707,0.03325787242698501,102.72431988956379,102.72431988956379
7880708,0.11439507175399576,100.4857766942605,100.4857766942605
7880709,0.04035030190083811,106.40260471283447,114.3227298619735
7880710,1.060054109508277,100.01133899232926,100.01133899232926
7880712,0.419421771242146,102.57674116923974,102.57674116923974
7880713,0.39108320417924786,100.13635548985992,100.13635548985992
7880714,0.10645771772040855,101.84819378926817,103.22920476066102
7880715,0.13172344057798693,100.0,100.0
